,CATEGORIE,DATE,QUART,long,lat,Address,Neighborhood
7307,Méfait,2020-09-08,jour,-73.60874409340785,45.56469973823727,"3280, Rue Jarry Est, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Z 2G1, Canada",
7308,Vol de véhicule à moteur,2020-09-08,nuit,-73.66987243041326,45.47904023027286,"6000, Boulevard Cavendish, Côte-Saint-Luc, Agglomération de Montréal, Montréal (06), Québec, H4W 2T5, Canada",
7309,Introduction,2020-09-08,nuit,-73.5824129617457,45.52452177278876,"440, Avenue du Mont-Royal Est, Parc-Lafontaine, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2J 1W2, Canada",
7310,Méfait,2020-09-08,soir,-73.68648378583605,45.44184214350263,"691, 25e Avenue, Vieux-Lachine, Arrondissement de Lachine, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8S 0B2, Canada",
7311,Introduction,2020-09-08,jour,-73.57677862025754,45.47567835099941,"3300, Rue Saint-Patrick, Côte-Saint-Paul, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4C 2C7, Canada",
7312,Vol de véhicule à moteur,2020-09-08,nuit,-73.5480633567326,45.59141646601507,"5590, Rue Radisson, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1N 1E7, Canada",
7313,Méfait,2020-09-08,soir,-73.55470231524853,45.54149740382799,"Station Préfontaine (Édicule Nord), Rue Hochelaga, Hochelaga, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1W 1G1, Canada",
7314,Vol dans / sur véhicule à moteur,2020-09-08,soir,-73.49418256563575,45.63737980126624,"Rue Victoria, Pointe-aux-Trembles, Travaux Publiques de Montréal-Est, Montréal-Est, Agglomération de Montréal, Montréal (06), Québec, H1B 2V7, Canada",
7315,Méfait,2020-09-08,jour,-73.54765637139468,45.57530862089288,"3292, Rue Louis-Veuillot, Longue-Pointe, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1N 1B2, Canada",
7316,Vol de véhicule à moteur,2020-09-08,soir,-73.66106093850856,45.46073434093351,"7525, Chemin Kingsley, Côte-Saint-Luc, Agglomération de Montréal, Montréal (06), Québec, H4W 2W4, Canada",
