Venue Category,Neighborhood,0
Italian Restaurant,Riviere-des-Prairies-Pointe-aux-Trembles,2
Italian Restaurant,Rosemont-La Petite-Patrie,4
Italian Restaurant,Saint-Leonard,3
Italian Restaurant,Sainte-Anne-de-Bellevue,2
Italian Restaurant,Verdun,1
Italian Restaurant,Ville-Marie,1
Italian Restaurant,Villeray-Saint-Michel-Parc-Extension,2
Japanese Restaurant,Mont-Royal,3
Japanese Restaurant,Outremont,1
Japanese Restaurant,Pierrefonds-Roxboro,1
Japanese Restaurant,Southwest,1
Japanese Restaurant,Westmount,1
Jewish Restaurant,Southwest,1
Jewish Restaurant,Verdun,1
Jewish Restaurant,Westmount,1
Karaoke Bar,Villeray-Saint-Michel-Parc-Extension,1
Kitchen Supply Store,Ahuntsic-Cartierville,1
Kitchen Supply Store,Pointe-Claire,1
Korean Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,2
Korean Restaurant,Southwest,1
Korean Restaurant,Verdun,1
Korean Restaurant,Westmount,1
Lebanese Restaurant,Mont-Royal,1
Lebanese Restaurant,Westmount,1
Lighthouse,Lachine,1
Liquor Store,Ahuntsic-Cartierville,4
Liquor Store,Anjou,4
Liquor Store,Baie-d'Urfe,1
Liquor Store,Beaconsfield,2
Liquor Store,Cote-des-Neiges-Notre-Dame-de-Grace,2
Liquor Store,Dorval,1
Liquor Store,Kirkland,5
Liquor Store,LaSalle,3
Liquor Store,Lachine,1
Liquor Store,Mercier-Hochelaga-Maisonneuve,4
Liquor Store,Montreal-Est,1
Liquor Store,Montreal-Nord,2
Liquor Store,Pierrefonds-Roxboro,1
