,CATEGORIE,long,lat,Address,Neighborhood
771,Vol dans / sur véhicule à moteur,-73.61386935671909,45.59601280751718,"5555, Boulevard des Grandes-Prairies, Port-Maurice, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 2B7, Canada",
772,Vol de véhicule à moteur,-73.57268307649629,45.50094905720084,"1453, Rue Metcalfe, Quartier des Spectacles, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3B 2V5, Canada",
773,Méfait,-73.56763270666553,45.49829820540863,"1071, Rue de la Cathédrale, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3B 4C9, Canada",
774,Vol dans / sur véhicule à moteur,-73.63138833754047,45.503234897823475,"3453, Avenue de Kent, Parc-Kent, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3S 1M8, Canada",
775,Introduction,-73.56794957860146,45.51582079231285,"2079, Rue Sanguinet, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1H6, Canada",
776,Introduction,-73.59637543800487,45.58091176917777,"8121, Rue Jean Nicolet, Port-Maurice, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 3W6, Canada",
777,Introduction,-73.53767095326455,45.570500354739046,"5740, Rue Hochelaga, Longue-Pointe, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1N 1X1, Canada",
778,Méfait,-73.50207513105816,45.64264222094696,"1300, 12e Avenue, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 3C7, Canada",
779,Méfait,-73.67998698455538,45.5022413642251,"2010, Rue Saint-Louis, Du Collège/Hodge, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4M 2L8, Canada",
780,Introduction,-73.68338414008986,45.49747578833947,"2345, Rue Noël, Du Collège/Hodge, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4T 1Z9, Canada",
781,Vol de véhicule à moteur,-73.61841458054431,45.537271848490384,"École Sainte Cécile, Rue de Castelnau Est, Parc-Jarry, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 1P4, Canada",
782,Introduction,-73.59283537416155,45.48404709825178,"250, Avenue Redfern, Westmount, Agglomération de Montréal, Montréal (06), Québec, H3Z 2E7, Canada",
783,Vol de véhicule à moteur,-73.57850456821642,45.55848958230929,"3732, Rue de Bellechasse, Étienne-Desmarteau, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1X 1J5, Canada",
784,Vols qualifiés,-73.50947349839002,45.65622715628214,"13000, Rue Sherbrooke Est, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 1C2, Canada",
785,Vol de véhicule à moteur,-73.5804302609962,45.49281695090471,"1871, Rue Sainte-Catherine Ouest, Montagne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3H 2T2, Canada",
786,Vol dans / sur véhicule à moteur,-73.53901860912983,45.589890545675495,"7225, Rue Sherbrooke Est, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1N 1E7, Canada",
787,Vols qualifiés,-73.55590242695679,45.523147624195175,"1651, Rue Logan, Village gai, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 2H0, Canada",
788,Méfait,-73.5747820512546,45.53793474394219,"2211, Rue Gilford, Lorimier, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2H 1H8, Canada",
789,Introduction,-73.57336508688249,45.54418955704875,"5205, 1e Avenue, Vieux-Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Y 1W1, Canada",
790,Vol de véhicule à moteur,-73.63076477885902,45.437361763964454,"2252, Rue Gervais, Cecil-P.-Newman, LaSalle, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8N 2Y9, Canada",
791,Introduction,-73.70146552671441,45.52798037400916,"5100, Rue Dudemaine, Cartierville, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4J 1M9, Canada",
792,Vol dans / sur véhicule à moteur,-73.92621670738643,45.4082914573462,"78, Rue Devon, Baie-D'Urfé, Agglomération de Montréal, Montréal (06), Québec, H9X 4B6, Canada",
793,Vol dans / sur véhicule à moteur,-73.58014163783298,45.50035024331481,"3475, Rue de la Montagne, Montagne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3G 1Y5, Canada",
794,Introduction,-73.53915853686938,45.542429622794174,"3521, Rue Sainte-Catherine Est, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1W 2E7, Canada",
795,Introduction,-73.59282687008512,45.53130210833717,"5474, Rue Saint-Hubert, Parc-Laurier, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2S 2K1, Canada",
796,Introduction,-73.58119056417462,45.46342942625893,"1390, Avenue de l'Église, Côte-Saint-Paul, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4E 1G1, Canada",
797,Introduction,-73.5685973458158,45.554585631039345,"3745, Avenue Laurier Est, Vieux-Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1X 2N9, Canada",
